"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier","points_tries","points_convs","points_pens","points_drops"
"50",12,"Namib",0,"Madagascar",0,"TAW Kotze",24,"FH","won",0,"2","3",0,24,0,0
"51",2,"JPN",0,"South Africa",5,"A Goromaru",24,"FB","won",1,"2","1",5,4,15,0
"52",7,"Spain",0,"Chile",0,"BD Linklater",24,"FH","won",2,"2","3",10,14,0,0
"53",3,"Eng",0,"Australia",6,"OA Farrell",24,"FH","won",0,"1","1",0,6,18,0
"54",3,"Eng",0,"Australia",6,"OA Farrell",24,"C","won",0,"1","1",0,6,18,0
"55",7,"NZ",0,"Samoa",0,"BJ Barrett",24,"FH","won",2,"1","2",10,14,0,0
"56",4,"SA",0,"Wales",5,"AD James",23,"FH","won",0,"1","1",0,8,15,0
"57",1,"NZ",1,"South Africa",6,"DW Carter",23,"FH","lost",0,"1","1",0,2,18,3
"58",2,"Arg",0,"Uruguay",3,"S Gonzalez Iglesias",23,"FH","won",2,"1","2",10,4,9,0
"59",3,"Russ",0,"Spain",4,"Y Kushnarev",23,"FH","won",1,"2","2",5,6,12,0
"60",3,"Spain",0,"Namibia",4,"M Peluchon Carrero",23,"FB","won",1,"2","2",5,6,12,0
"61",9,"NZ",0,"Japan",0,"CR Slade",23,"FH","won",1,"1","2",5,18,0,0
"62",4,"Fra",0,"Canada",5,"MRJ Parra",23,"SH","won",0,"1","2",0,8,15,0
"63",1,"Port",0,"Chile",7,"PMDC Leal",23,"FH","won",0,"2","3",0,2,21,0
"64",1,"Wales",0,"Scotland",7,"SL Halfpenny",23,"FB","won",0,"1","1",0,2,21,0
"65",3,"Can",0,"Tonga",4,"J Pritchard",23,"FB","won",1,"2","2",5,6,12,0
"66",3,"NZ",0,"Australia",4,"AW Cruden",23,"FH","won",1,"1","1",5,6,12,0
"67",9,"Arg",0,"Chile",0,"FN Sanchez",23,"FH","won",1,"1","3",5,18,0,0
"68",3,"USA",0,"Canada",4,"CT Wyles",23,"FB","won",1,"2","2",5,6,12,0
"69",1,"Wales",0,"England",7,"DR Biggar",23,"FH","won",0,"1","1",0,2,21,0
"70",4,"Arg",0,"Ireland",5,"FN Sanchez",23,"FH","won",0,"1","1",0,8,15,0
"71",3,"Eng",0,"Argentina",4,"GT Ford",23,"FH","won",1,"1","1",5,6,12,0
"72",4,"Kenya",0,"Senegal",0,"D Mukidza Kinyangi",23,"W","won",3,"3","3",15,8,0,0
"73",4,"Port",3,"Czech Rep",0,"PPDC Cabral",22,"FB","won",1,"2","3",5,8,0,9
"74",4,"NZ",0,"England",3,"DW Carter",22,"FH","won",1,"1","1",5,8,9,0
"75",4,"NZ",0,"England",3,"DW Carter",22,"FH","won",1,"1","1",5,8,9,0
"76",2,"Wales",0,"Canada",6,"DR Biggar",22,"FH","won",0,"1","2",0,4,18,0
"77",2,"Eng",2,"Argentina",4,"AJ Goode",22,"FH","won",0,"1","1",0,4,12,6
"78",1,"Aust",0,"France",5,"MJ Giteau",22,"FH","won",1,"1","1",5,2,15,0
"79",2,"NZ",0,"Australia",6,"DW Carter",22,"FH","won",0,"1","1",0,4,18,0
"80",2,"Aust",0,"Italy",6,"BS Barnes",22,"C","won",0,"1","1",0,4,18,0
"81",3,"Wales",0,"Scotland",2,"SL Halfpenny",22,"FB","won",2,"1","1",10,6,6,0
"82",4,"Arg",0,"Italy",3,"F Contepomi",22,"C","won",1,"1","1",5,8,9,0
"83",4,"Scot",0,"Fiji",3,"GD Laidlaw",22,"FH","won",1,"1","2",5,8,9,0
"84",1,"Georg",0,"Japan",5,"M Kvirikashvili",22,"FH","lost",1,"2","2",5,2,15,0
"85",2,"Namib",0,"Spain",6,"TAW Kotze",22,"FH","lost",0,"2","2",0,4,18,0
"86",7,"Eng",0,"Italy",1,"OA Farrell",22,"FH","won",1,"1","1",5,14,3,0
"87",5,"Fiji",0,"Canada",4,"RNDSN Nadolo",22,"W","won",0,"2","2",0,10,12,0
"88",7,"Can",0,"Chile",1,"GA McRorie",22,"SH","won",1,"2","3",5,14,3,0
"89",4,"SA",0,"France",3,"ET Jantjies",22,"FH","won",1,"1","1",5,8,9,0
"90",0,"Scot",1,"South Africa",6,"DA Parks",21,"FH","won",0,"1","1",0,0,18,3
"91",1,"JPN",0,"France",3,"JA Arlidge",21,"FH","lost",2,"2","1",10,2,9,0
"92",5,"SA",0,"Fiji",2,"M Steyn",21,"FH","won",1,"1","2",5,10,6,0
"93",0,"NZ",0,"Argentina",7,"PAT Weepu",21,"SH","won",0,"1","1",0,0,21,0
"94",3,"Russ",0,"Spain",5,"Y Kushnarev",21,"FH","won",0,"2","2",0,6,15,0
"95",2,"Can",0,"Georgia",4,"J Pritchard",21,"FB","won",1,"2","2",5,4,12,0
"96",5,"Germ",0,"Ukraine",2,"R Parkinson",21,"FH","won",1,"2","3",5,10,6,0
"97",6,"NZ",0,"Scotland",3,"DW Carter",21,"FH","won",0,"1","1",0,12,9,0
"98",3,"Lions",0,"Australia",5,"SL Halfpenny",21,"FB","won",0,"Lions","1",0,6,15,0
"99",0,"Rom",0,"Canada",7,"FA Vlaicu",21,"C","won",0,"2","2",0,0,21,0
"100",3,"Fiji",0,"Cook Islands",0,"RNDSN Nadolo",21,"C","won",3,"2","3",15,6,0,0
"101",0,"Urug",0,"Russia",7,"F Berchesi Pisano",21,"FH","lost",0,"2","2",0,0,21,0
"102",3,"Urug",0,"Russia",5,"F Berchesi Pisano",21,"FH","won",0,"2","2",0,6,15,0
"103",8,"JPN",0,"Korea",0,"A Goromaru",21,"FB","won",1,"2","3",5,16,0,0
"104",3,"Scot",0,"Italy",5,"GD Laidlaw",21,"SH","won",0,"1","1",0,6,15,0
"105",5,"Wales",0,"Italy",2,"DR Biggar",21,"FH","won",1,"1","1",5,10,6,0
"106",0,"Fra",0,"England",7,"M Machenaud",21,"SH","lost",0,"1","1",0,0,21,0
"107",0,"NZ",0,"Lions",7,"BJ Barrett",21,"FH","lost",0,"1","Lions/Barb",0,0,21,0
"108",0,"Arg",0,"Chile",0,"FJ Merello",20,"W","won",4,"1","3",20,0,0,0
"109",4,"Aust",0,"France",4,"MJ Giteau",20,"FH","won",0,"1","1",0,8,12,0
"110",0,"SA",0,"Australia",0,"JL Nokwe",20,"W","won",4,"1","1",20,0,0,0
"111",1,"Aust",0,"England",6,"MJ Giteau",20,"FH","won",0,"1","1",0,2,18,0
"112",3,"SA",0,"England",3,"R Pienaar",20,"FH","won",1,"1","1",5,6,9,0
"113",6,"Georg",0,"Spain",1,"L Malaguradze",20,"FH","won",1,"2","2",5,12,3,0
"114",3,"Urug",0,"Paraguay",3,"M Arocena",20,"FH","won",1,"2","3",5,6,9,0
"115",0,"JPN",0,"Korea",0,"H Onozawa",20,"W","won",4,"2","3",20,0,0,0
"116",0,"Arg",0,"Chile",0,"JJ Imhoff",20,"W","won",4,"1","3",20,0,0,0
"117",1,"Lions",1,"South Africa",5,"SM Jones",20,"FH","lost",0,"Lions","1",0,2,15,3
"118",4,"Fiji",0,"Japan",4,"S Baikeinuku",20,"C","won",0,"2","2",0,8,12,0
"119",0,"Samoa",0,"PNG",0,"E Lauina",20,"W","won",4,"2","3",20,0,0,0
"120",2,"Aust",0,"South Africa",2,"MJ Giteau",20,"FH","lost",2,"1","1",10,4,6,0
"121",3,"Russ",0,"Namibia",3,"A Yanyushkin",20,"SH","won",1,"2","2",5,6,9,0
"122",2,"Aust",0,"England",2,"MJ Giteau",20,"C","lost",2,"1","1",10,4,6,0
"123",10,"JPN",0,"Russia",0,"A Tanabe",20,"FB","won",0,"2","2",0,20,0,0
"124",7,"Can",0,"Spain",2,"J Pritchard",20,"FB","won",0,"2","2",0,14,6,0
"125",1,"Wales",0,"New Zealand",6,"SM Jones",20,"FH","lost",0,"1","1",0,2,18,0
"126",0,"Eng",0,"Italy",0,"CJ Ashton",20,"W","won",4,"1","1",20,0,0,0
"127",1,"Spain",0,"Portugal",6,"ME Heredia Federico",20,"FH","won",0,"2","2",0,2,18,0
"128",0,"JPN",0,"Kazakhstan",0,"T Kizu",20,"H","won",4,"2","3",20,0,0,0
"129",0,"JPN",0,"UAE",0,"T Usuzuki",20,"W","won",4,"2","3",20,0,0,0
"130",0,"Urug",0,"Paraguay",0,"P Bueno",20,"W","won",4,"2","3",20,0,0,0
"131",10,"Arg",0,"Uruguay",0,"B Madero",20,"FH","won",0,"1","2",0,20,0,0
"132",0,"Tonga",0,"USA",0,"VV Iongi",20,"W","won",4,"2","2",20,0,0,0
"133",4,"Tonga",0,"Fiji",4,"KS Morath",20,"FH","won",0,"2","2",0,8,12,0
"134",0,"Fiji",0,"Namibia",0,"V Goneva",20,"W","won",4,"2","2",20,0,0,0
"135",6,"SA",0,"Namibia",1,"M Steyn",20,"FH","won",1,"1","2",5,12,3,0
"136",0,"NZ",0,"Canada",0,"ZR Guildford",20,"W","won",4,"1","2",20,0,0,0
"137",1,"Eng",0,"Ireland",6,"OA Farrell",20,"FH","won",0,"1","1",0,2,18,0
"138",3,"Wales",0,"Barbarians",3,"JW Hook",20,"C","won",1,"1","Lions/Barb",5,6,9,0
"139",1,"Italy",0,"Canada",6,"KS Burton",20,"FH","won",0,"1","2",0,2,18,0
"140",1,"Aust",0,"Argentina",6,"MJ Harris",20,"FB","won",0,"1","1",0,2,18,0
"141",4,"Germ",0,"Poland",4,"R Parkinson",20,"FH","lost",0,"2","3",0,8,12,0
"142",0,"Samoa",0,"Canada",0,"RV Lilomaiava",20,"W","won",4,"2","2",20,0,0,0
"143",1,"Spain",0,"Namibia",6,"JM Carrion Llorens",20,"W","won",0,"2","2",0,2,18,0
"144",1,"Rom",0,"Spain",6,"FA Vlaicu",20,"C","won",0,"2","2",0,2,18,0
"145",0,"Arg",0,"Chile",0,"D Isaack",20,"FB","won",4,"1","3",20,0,0,0
"146",5,"Arg",0,"Brazil",0,"SA Poet",20,"FH","won",2,"1","3",10,10,0,0
"147",0,"JPN",0,"UAE",0,"Y Imamura",20,"W","won",4,"2","3",20,0,0,0
"149",4,"Namib",0,"Tunisia",4,"TAW Kotze",20,"FH","won",0,"2","3",0,8,12,0
"150",3,"NZ",0,"Australia",3,"AW Cruden",20,"FH","won",1,"1","1",5,6,9,0
"151",4,"Wales",0,"Argentina",4,"SL Halfpenny",20,"FB","won",0,"1","1",0,8,12,0
"152",1,"JPN",0,"Spain",6,"A Goromaru",20,"FB","won",0,"2","2",0,2,18,0
"153",3,"Aust",0,"Wales",3,"CP Leali'ifano",20,"C","won",1,"1","1",5,6,9,0
"154",0,"JPN",0,"Korea",0,"A Yamada",20,"W","won",4,"2","3",20,0,0,0
"155",0,"Arg",0,"Uruguay",0,"M Montero",20,"W","won",4,"1","2",20,0,0,0
"156",6,"Fiji",0,"Tonga",1,"RNDSN Nadolo",20,"C","won",1,"2","2",5,12,3,0
"157",0,"Namib",0,"Madagascar",0,"R Bothma",20,"N8","won",4,"2","3",20,0,0,0
"158",1,"Rom",0,"Spain",6,"FA Vlaicu",20,"C","won",0,"2","2",0,2,18,0
"159",1,"NZ",0,"Samoa",6,"DW Carter",20,"FH","won",0,"1","2",0,2,18,0
"160",10,"Namib",0,"Zimbabwe",0,"TAW Kotze",20,"FH","won",0,"2","3",0,20,0,0
"161",4,"Scot",0,"Japan",4,"GD Laidlaw",20,"SH","won",0,"1","2",0,8,12,0
"162",1,"Eng",1,"Wales",5,"OA Farrell",20,"FH","lost",0,"1","1",0,2,15,3
"163",0,"Chile",0,"Uruguay",5,"M Nordenflycht Torrico",20,"C","lost",1,"3","2",5,0,15,0
"164",1,"Eng",0,"Wales",6,"OA Farrell",20,"C","won",0,"1","1",0,2,18,0
"165",1,"Arg",0,"Italy",6,"FN Sanchez",20,"FH","won",0,"1","1",0,2,18,0
"166",3,"Aust",0,"England",3,"BT Foley",20,"FH","lost",1,"1","1",5,6,9,0
"167",1,"USA",0,"Russia",6,"AL MacGinty",20,"FH","won",0,"2","2",0,2,18,0
"168",1,"Samoa",1,"Canada",5,"D Leuila",20,"FH","won",0,"2","2",0,2,15,3
"169",4,"Fra",0,"Italy",4,"C Lopez",20,"FH","won",0,"1","1",0,8,12,0
"170",4,"Arg",0,"Georgia",4,"FN Sanchez",20,"FH","won",0,"1","2",0,8,12,0
"171",3,"Tonga",0,"Samoa",3,"S Takulua",20,"SH","won",1,"2","2",5,6,9,0
"172",0,"Namib",0,"Senegal",0,"R Kitshoff",20,"F","won",4,"2","3",20,0,0,0
"173",5,"NZ",0,"Australia",0,"BJ Barrett",20,"FH","won",2,"1","1",10,10,0,0
"174",4,"Aust",0,"France",2,"MJ Giteau",19,"FH","won",1,"1","1",5,8,6,0
"175",2,"NZ",0,"Australia",5,"DW Carter",19,"FH","won",0,"1","1",0,4,15,0
"176",7,"NZ",0,"Samoa",0,"SR Donald",19,"FH","won",1,"1","2",5,14,0,0
"178",2,"NZ",0,"Wales",5,"DW Carter",19,"FH","won",0,"1","1",0,4,15,0
"179",2,"NZ",0,"South Africa",5,"DW Carter",19,"FH","lost",0,"1","1",0,4,15,0
"180",1,"Urug",0,"USA",4,"JJ Etcheverry Cavanna",19,"FB","lost",1,"2","2",5,2,12,0
"181",5,"Rom",0,"Tunisia",3,"DM Dumbrava",19,"FH","won",0,"2","3",0,10,9,0
"182",4,"NZ",0,"Australia",2,"DW Carter",19,"FH","won",1,"1","1",5,8,6,0
"183",2,"SA",0,"Wales",5,"M Steyn",19,"FH","won",0,"1","1",0,4,15,0
"184",2,"Fra",0,"Fiji",5,"D Yachvili",19,"SH","won",0,"1","2",0,4,15,0
"185",2,"Urug",0,"Brazil",5,"S Arocena",19,"W","won",0,"2","3",0,4,15,0
"186",7,"JPN",0,"Sri Lanka",0,"A Tanabe",19,"FB","won",1,"2","3",5,14,0,0
"187",5,"Tonga",0,"USA",3,"KS Morath",19,"FH","won",0,"2","2",0,10,9,0
"188",2,"Namib",0,"Portugal",5,"TAW Kotze",19,"FH","won",0,"2","2",0,4,15,0
"189",2,"Tonga",0,"Samoa",5,"KS Morath",19,"FH","won",0,"2","2",0,4,15,0
"190",4,"NZ",0,"Fiji",2,"CR Slade",19,"FH","won",1,"1","2",5,8,6,0
"191",4,"Aust",0,"South Africa",2,"JD O'Connor",19,"W","won",1,"1","1",5,8,6,0
"192",5,"Fiji",0,"Namibia",3,"S Baikeinuku",19,"C","won",0,"2","2",0,10,9,0
"193",1,"Urug",0,"Chile",4,"M Arocena",19,"FH","won",1,"2","3",5,2,12,0
"194",5,"Fra",0,"Argentina",3,"F Michalak",19,"FH","won",0,"1","1",0,10,9,0
"195",2,"JPN",0,"Romania",5,"A Goromaru",19,"FB","won",0,"2","2",0,4,15,0
"196",3,"Ire",0,"Argentina",1,"JJ Sexton",19,"FH","won",2,"1","1",10,6,3,0
"197",3,"USA",0,"Romania",1,"CT Wyles",19,"FB","won",2,"2","2",10,6,3,0
"198",1,"Fra",0,"Samoa",4,"F Michalak",19,"FH","won",1,"1","2",5,2,12,0
"199",7,"JPN",0,"Korea",0,"A Goromaru",19,"FB","won",1,"2","3",5,14,0,0
"200",4,"Eng",0,"Argentina",2,"FS Burns",19,"FH","won",1,"1","1",5,8,6,0
"201",2,"Italy",0,"Scotland",5,"A di Bernardo",19,"FH","lost",0,"1","1",0,4,15,0
"202",2,"Aust",0,"New Zealand",5,"CP Leali'ifano",19,"C","lost",0,"1","1",0,4,15,0
"203",2,"Eng",0,"Wales",5,"OA Farrell",19,"FH","won",0,"1","1",0,4,15,0
"204",3,"Urug",0,"Paraguay",1,"F Favaro Garcia",19,"W","won",2,"2","3",10,6,3,0
"205",2,"JPN",0,"Canada",5,"A Goromaru",19,"FB","won",0,"2","2",0,4,15,0
"206",2,"Rom",1,"Uruguay",4,"FA Vlaicu",19,"C","won",0,"2","2",0,4,12,3
"207",5,"NZ",0,"Australia",3,"AW Cruden",19,"FH","won",0,"1","1",0,10,9,0
"208",3,"SA",0,"New Zealand",1,"H Pollard",19,"FH","won",2,"1","1",10,6,3,0
"209",5,"Ire",0,"Georgia",3,"IL Madigan",19,"FH","won",0,"1","2",0,10,9,0
"210",2,"Fra",0,"Italy",5,"F Michalak",19,"FH","won",0,"1","1",0,4,15,0
"211",2,"SA",1,"Scotland",4,"H Pollard",19,"FH","won",0,"1","1",0,4,12,3
"212",2,"Scot",0,"Australia",5,"GD Laidlaw",19,"SH","lost",0,"1","1",0,4,15,0
"213",2,"NZ",1,"Australia",4,"DW Carter",19,"FH","won",0,"1","1",0,4,12,3
"214",2,"Braz",0,"Uruguay",5,"DN Harvey",19,"FH","lost",0,"3","2",0,4,15,0
"215",7,"USA",0,"Chile",0,"JP Eloff",19,"FH","won",1,"2","3",5,14,0,0
"216",2,"Urug",0,"USA",5,"AL Ormaechea",19,"SH","won",0,"2","2",0,4,15,0
"217",5,"Rom",0,"Germany",3,"FA Vlaicu",19,"C","won",0,"2","2",0,10,9,0
"218",7,"JPN",0,"Korea",0,"R Yamanaka",19,"FH","won",1,"2","3",5,14,0,0
"219",8,"JPN",0,"Hong Kong",1,"R Nakamura",19,"FH","won",0,"2","3",0,16,3,0
"220",4,"Kenya",0,"Hong Kong",2,"D Mukidza Kinyangi",19,"W","won",1,"3","3",5,8,6,0
"221",4,"Eng",0,"South Africa",2,"OA Farrell",19,"C","won",1,"1","1",5,8,6,0
"222",2,"Scot",0,"Wales",5,"FA Russell",19,"FH","won",0,"1","1",0,4,15,0
"223",1,"Belg",0,"Germany",4,"A Williams",19,"FH","lost",1,"3","2",5,2,12,0
"224",4,"Kenya",0,"Hong Kong",2,"D Mukidza Kinyangi",19,"W","lost",1,"3","3",5,8,6,0
"225",4,"SA",0,"Argentina",2,"ET Jantjies",19,"FH","won",1,"1","1",5,8,6,0
"226",3,"Wales",0,"Italy",4,"SM Jones",18,"FH","won",0,"1","1",0,6,12,0
"227",3,"Eng",0,"Ireland",4,"DJ Cipriani",18,"FH","won",0,"1","1",0,6,12,0
"228",0,"Urug",0,"Georgia",6,"M Arocena",18,"FH","lost",0,"2","2",0,0,18,0
"229",9,"SA",0,"Argentina",0,"AD James",18,"FH","won",0,"1","1",0,18,0,0
"230",5,"Urug",0,"Chile",1,"JJ Etcheverry Cavanna",18,"FB","won",1,"2","3",5,10,3,0
"231",9,"Samoa",0,"PNG",0,"TJ Esau",18,"FB","won",0,"2","3",0,18,0,0
"232",0,"Aust",0,"New Zealand",6,"MJ Giteau",18,"FH","lost",0,"1","1",0,0,18,0
"233",3,"NZ",0,"Australia",4,"DW Carter",18,"FH","won",0,"1","1",0,6,12,0
"234",3,"Wales",0,"Italy",4,"SM Jones",18,"FH","won",0,"1","1",0,6,12,0
"235",0,"Scot",1,"Ireland",5,"DA Parks",18,"FH","won",0,"1","1",0,0,15,3
"236",6,"Rom",0,"Spain",2,"FA Vlaicu",18,"FB","won",0,"2","2",0,12,6,0
"238",3,"NZ",0,"Ireland",4,"DW Carter",18,"FH","won",0,"1","1",0,6,12,0
"239",1,"Can",0,"Portugal",2,"J Pritchard",18,"FB","won",2,"2","2",10,2,6,0
"240",3,"Rom",0,"Russia",4,"FA Vlaicu",18,"FH","won",0,"2","2",0,6,12,0
"241",0,"Urug",1,"Chile",5,"S Arocena",18,"W","lost",0,"2","3",0,0,15,3
"242",2,"Aust",0,"Samoa",3,"MJ Giteau",18,"FH","lost",1,"1","2",5,4,9,0
"243",0,"SA",1,"New Zealand",5,"M Steyn",18,"FH","won",0,"1","1",0,0,15,3
"244",9,"Aust",0,"Russia",0,"JD O'Connor",18,"FB","won",0,"1","2",0,18,0,0
"245",9,"Arg",0,"Brazil",0,"S Ambrosio",18,"FH","won",0,"1","3",0,18,0,0
"246",0,"Tonga",0,"Samoa",6,"KS Morath",18,"FH","lost",0,"2","2",0,0,18,0
"247",0,"NZ",0,"Australia",6,"DW Carter",18,"FH","draw",0,"1","1",0,0,18,0
"248",3,"NZ",0,"Wales",4,"AW Cruden",18,"FH","won",0,"1","1",0,6,12,0
"249",3,"Eng",0,"Scotland",4,"OA Farrell",18,"FH","won",0,"1","1",0,6,12,0
"250",0,"Scot",0,"Wales",6,"GD Laidlaw",18,"SH","lost",0,"1","1",0,0,18,0
"251",0,"Eng",0,"Italy",6,"TGAL Flood",18,"FH","won",0,"1","1",0,0,18,0
"252",3,"Chile",0,"Brazil",4,"J Valderrama",18,"FB","won",0,"3","3",0,6,12,0
"254",3,"SA",0,"Australia",4,"M Steyn",18,"FH","won",0,"1","1",0,6,12,0
"255",3,"Aust",1,"New Zealand",3,"QS Cooper",18,"FH","lost",0,"1","1",0,6,9,3
"256",9,"Port",0,"Brazil",0,"PMDC Leal",18,"FB","won",0,"2","3",0,18,0,0
"257",2,"Georg",0,"USA",3,"M Kvirikashvili",18,"FB","lost",1,"2","2",5,4,9,0
"258",2,"Russ",0,"Spain",3,"Y Kushnarev",18,"FH","won",1,"2","2",5,4,9,0
"259",0,"Wales",0,"England",6,"SL Halfpenny",18,"FB","lost",0,"1","1",0,0,18,0
"260",3,"JPN",0,"Samoa",4,"A Goromaru",18,"FB","won",0,"2","2",0,6,12,0
"261",0,"Samoa",0,"Fiji",6,"T Pisi",18,"FH","won",0,"2","2",0,0,18,0
"262",0,"SA",0,"Australia",6,"M Steyn",18,"FH","lost",0,"1","1",0,0,18,0
"263",3,"Aust",1,"Wales",3,"BT Foley",18,"FH","won",0,"1","1",0,6,9,3
"264",0,"JPN",0,"Romania",6,"A Goromaru",18,"FB","won",0,"2","2",0,0,18,0
"265",0,"Rom",0,"Canada",6,"FA Vlaicu",18,"FH","won",0,"2","2",0,0,18,0
"266",3,"Georg",0,"Russia",4,"M Kvirikashvili",18,"FB","won",0,"2","2",0,6,12,0
"267",3,"Ire",0,"Scotland",4,"JJ Sexton",18,"FH","won",0,"1","1",0,6,12,0
"268",0,"USA",0,"Japan",6,"AL MacGinty",18,"FH","won",0,"2","2",0,0,18,0
"269",3,"Tonga",0,"USA",4,"KS Morath",18,"FH","won",0,"2","2",0,6,12,0
"271",0,"SA",1,"Wales",5,"H Pollard",18,"FH","won",0,"1","1",0,0,15,3
"272",5,"Chile",0,"Paraguay",1,"M Nordenflycht Torrico",18,"C","won",1,"3","3",5,10,3,0
"273",9,"Arg",0,"Chile",0,"J Diaz Bonilla",18,"FH","won",0,"1","3",0,18,0,0
"274",2,"Eng",0,"Australia",3,"OA Farrell",18,"C","won",1,"1","1",5,4,9,0
"275",0,"Can",0,"Italy",6,"GA McRorie",18,"SH","lost",0,"2","1",0,0,18,0
"276",2,"Aust",0,"South Africa",3,"BT Foley",18,"C","won",1,"1","1",5,4,9,0
